"# menu items";"nan"
"_SITE_TITLE";"Réseau social"
"Max upload of %s allowed.";"MAX Téléchargement de %s autorisé."
"you already rated";"Vous avez déjà noté"
"please login to rate";"Veuillez vous connecter pour évaluer"
"click to rate";"cliquez pour noter"
"Thanks for rating!";"Merci de la notation!"
"Manage Tags";"Gérer les balise"
"This page lists all of the tags your users have posted. You can use this page to monitor these tags and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific tags. Leaving the filter fields blank will show all of the tags on your social network.";"Cette page répertorie toutes les balises que vos utilisateurs ont publiées. Vous pouvez utiliser cette page pour surveiller ces balises et supprimer le matériel offensif si nécessaire. La saisie des critères dans les champs de filtre vous aidera à trouver des balises spécifiques. Laisser les champs de filtre vide affichera toutes les balises sur votre réseau social."
"Are you sure you want to delete the selected tags?";"Êtes-vous sûr de vouloir supprimer les balises sélectionnées?"
"Add Tags";"Ajouter des balise"
"%s tag found.";"%s Tag trouvé.";"%s tags found."
"ID";"IDENTIFIANT"
"Tag Name";"Nom de tag"
"Option";"Option"
"There are no tags yet.";"Il n'y a pas encore de balises."
"Add";"Ajouter"
"Cancel";"Annuler"
"Plugin Name";"Nom du plugin"
"Delete Tag";"Supprimer la balise"
"Are you sure you want to delete this tag?";"Êtes-vous sûr de vouloir supprimer cette balise?"
"Measurement ID";"ID de mesure"
"Enable Login Logs";"Activer les journaux de connexion"
"Do you want to enable login logs when members log in to your website? If you choose yes then the login entry will save in the database.";"Voulez-vous activer les journaux de connexion lorsque les membres se connectent à votre site Web? Si vous choisissez oui, l'entrée de connexion sera enregistrée dans la base de données."
"For very large social networks, it may be necessary to enable caching to improve performance. If there is a noticeable decrease in performance on your social network, consider enabling caching below (or upgrading your hardware). Caching takes some load off the database server by storing commonly retrieved data in temporary files (file-based caching) or memcached (memory-based caching). If you are not familiar with caching, we do not recommend that you change any of these settings. <br>";"Pour les très grands réseaux sociaux, il peut être nécessaire de permettre à la mise en cache d'améliorer les performances. S'il y a une diminution notable des performances sur votre réseau social, envisagez d'activer la mise en cache ci-dessous (ou la mise à niveau de votre matériel). La mise en cache prend un peu de chargement du serveur de base de données en stockant des données couramment récupérées dans des fichiers temporaires (cache basés sur des fichiers) ou Memcached (mise en cache basé sur la mémoire). Si vous n'êtes pas familier avec la mise en cache, nous ne vous recommandons pas de modifier l'un de ces paramètres. <br>"
"More Info: <a href=""%1$s"" target=""_blank""> KB Article</a>";"Plus d'informations: <a href = ""%1$s"" Target = ""_ Blank""> KB Article </a>"
"TinyMCE Editor Settings";"Paramètres de l'éditeur TinyMCE"
"Below, configure the options to be displayed in the TinyMCE editor on your website. Refer to KB Article to know the placement of these options in TinyMCE Editor.";"Ci-dessous, configurez les options à afficher dans l'éditeur TinyMCE sur votre site Web. Reportez-vous à l'article de KB pour connaître le placement de ces options dans TinyMce Editor."
"Enable Menu Bar";"Activer la barre de menu"
"Do you want to enable menu bar (menu bar is used to define the presence and order of menus, such as File, Edit, and View) in the TinyMCE editor on your site?";"Voulez-vous activer la barre de menus (la barre de menus est utilisée pour définir la présence et l'ordre des menus, tels que le fichier, l'édition et la vue) dans l'éditeur TinyMCE sur votre site?"
"Enable Status Bar";"Activer la barre d'état"
"Do you want to enable status bar (status bar is the gray bar aligned to the bottom of the editor's editable area) in the TinyMCE editor on your site?";"Voulez-vous activer la barre d'état (barre d'état la barre grise est-elle alignée au bas de la zone modifiable de l'éditeur) dans l'éditeur TinyMCE sur votre site?"
"Choose Editor Options / Menu Items";"Choisissez les options d'éditeur / menu élément"
"Choose from below the options / menu items that you want to enable in the TinyMCE editor on your site. If you choose 'No' for 'Enable Menu Bar' setting above, then options under menu bar options will not display in the editor.";"Choisissez parmi les options / éléments de menu que vous souhaitez activer dans l'éditeur TinyMCE sur votre site. Si vous choisissez le paramètre `` non '' pour 'Activer la barre de menu ""ci-dessus, les options sous les options de barre de menu ne s'afficheront pas dans l'éditeur."
"TinyMCE Content Autosave Duration";"Durée de voies d'automobiles de contenu TinyMCE"
"Enter the minutes for which you want to automatically save TinyMCE content in local browser of the users on your site. (Enter a number between 1 and 999).";"Entrez les minutes pour lesquelles vous souhaitez enregistrer automatiquement le contenu TinyMCE dans le navigateur local des utilisateurs sur votre site. (Entrez un nombre entre 1 et 999)."
"VIEW_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"Si vous souhaitez permettre à vos utilisateurs de catégoriser leurs entrées, créez les catégories ci-dessous. Cette fonctionnalité est utile si vous souhaitez répertorier toutes les entrées de vos utilisateurs par catégorie. Si vous n'avez pas de catégories, vos utilisateurs n'auront pas la possibilité d'attribuer une catégorie."
"You have %s unmapped photos from TinyMCE Editor.";"Vous avez %s photos non cartographiées de TinyMce Editor."
" to remove them from the storage of your site.";"pour les retirer du stockage de votre site."
"This content is currently pending pending admin approval, which means that it can only be viewed by you and our site''s administrator.";"Ce contenu est actuellement en attente de l'approbation de l'administration en attente, ce qui signifie qu'il ne peut être consulté que par vous et l'administrateur de notre site."
"Your community is currently in development mode. Most error messages are shown and caching is disabled. Changes to your CSS, theme, or view scripts will appear immediately, but your system may run more slowly. Only use this mode when making changes or troubleshooting.";"Votre communauté est actuellement en mode développement. La plupart des messages d'erreur sont affichés et la mise en cache est désactivée. Les modifications de vos scripts CSS, thème ou vision seront apparaître immédiatement, mais votre système peut fonctionner plus lentement. Utilisez ce mode uniquement lors des modifications ou du dépannage."
"Your community is currently in production mode. Most error messages are hidden and caching is enabled. If you want to make changes to your CSS layout or view scripts, please switch to Development Mode first.";"Votre communauté est actuellement en mode de production. La plupart des messages d'erreur sont masqués et la mise en cache est activée. Si vous souhaitez apporter des modifications à votre disposition CSS ou à vos scripts, veuillez d'abord passer en mode de développement."
"Choose Image for Language";"Choisissez l'image pour la langue"
"Choose the image to be shown with this language. This image will show in both user panel and admin panel of your site.<br />[Note: You can add a new image from the ""<a href=""%1$s"" target=""_blank"">File & Media Manager</a>"" section. If you leave the field blank then nothing will show.]";"Choisissez l'image à afficher avec cette langue. Cette image s'affichera dans le panneau utilisateur et le panneau d'administration de votre site. <Br /> [Remarque: Vous pouvez ajouter une nouvelle image à partir de la section ""<a href =""%1$s""Target ="" _ Blank ""> File & Media Manager </a>"". Si vous quittez le champ vide, rien ne montrera.]"
"There are currently no images in the <a href=""%1$s"" target=""_blank""> File & Media Manager </a> section of your site. Please begin by uploading an image to get started.";"Il n'y a actuellement aucune image dans la section <a href = ""%1$s"" cible = ""_ blanc""> File & Media Manager </a> de votre site. Veuillez commencer par télécharger une image pour commencer."
"Read Comment";"Lire le commentaire"
"Statistics";"Statistique"
"Page Views";"Pages vue"
"Today";"Aujourd'hui"
"Total";"Total"
"Sign-ins";"Signe"
"Private Messages";"Messages privé"
"Friendships";"Amitié"
"Comments";"Commentaire"
"Abuse Reports";"Rapports d'abu"
"Announcements";"Annonce"
"Emails Sent";"E-mails envoyé"
"Online Members";"Membres en ligne"
"Reports";"Rapport"
"Weekly";"Hebdomadaire"
"View All";"Afficher tou"
"Recent Activity Feeds";"Flux d'activité récente"
"Contents Statistics from Plugins";"Statistiques du contenu des plugin"
"Admin Notes";"Notes d'administration"
"Recent Content Comments";"Commentaires de contenu récent"
"There are no comments on contents yet.";"Il n'y a pas encore de commentaires sur le contenu."
"Recent Activity comments";"Commentaires d'activités récente"
"There are no comments on activity feeds yet.";"Il n'y a pas encore de commentaires sur les flux d'activité."
"There are no activity yet.";"Il n'y a pas encore d'activité."
"Mode";"Mode"
"Development";"Développement"
"Production";"Production"
"Light Mode";"Mode léger"
"Dark Mode";"Mode sombre"
"Back to Network";"Retour au réseau"
"Set Site Title";"Fixer le titre du site"
"Set up Mail";"Configurer le courrier"
"Set up Registration";"Configuration de l'enregistrement"
"Enable Anti-Spam";"Activer l'anti-spam"
"Set up Member Levels";"Configurer les niveaux des membre"
"Set Iframely for links";"Définir iframely pour les lien"
"Price for Verification Subscription";"Prix pour la vérification abonnement"
"Enter the amount to charge the members of this level on your site. This will be charged once for one-time plans, and each billing cycle for recurring plans. (Number must be greater than zero).";"Entrez le montant pour facturer les membres de ce niveau sur votre site. Cela sera facturé une fois pour des plans ponctuels et chaque cycle de facturation pour les plans récurrents. (Le nombre doit être supérieur à zéro)."
"Reauthentication to Access Admin Panel";"Reauthentification pour accéder au panneau d'administration"
"Currently, News & Updates are disabled.";"Actuellement, les nouvelles et les mises à jour sont désactivées."
"Comments on Content";"Commentaires sur le contenu"
"Comments on Activity Feeds";"Commentaires sur les flux d'activité"
"Manage Comments on Contents";"Gérer les commentaires sur le contenu"
"This page lists all the comments your users have posted on various contents on your site. You can use this page to monitor these comments and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific comments. Leaving the filter fields blank will show all of the comments on contents on your social network.";"Cette page répertorie tous les commentaires que vos utilisateurs ont publiés sur divers contenus sur votre site. Vous pouvez utiliser cette page pour surveiller ces commentaires et supprimer du matériel offensif si nécessaire. La saisie des critères dans les champs de filtre vous aidera à trouver des commentaires spécifiques. Laisser les champs de filtre vide affichera tous les commentaires sur le contenu de votre réseau social."
"Manage Comments on Activity Feeds";"Gérer les commentaires sur les flux d'activité"
"This page lists all of the comments your users have posted on activity feeds on your site. You can use this page to monitor these comments and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific comments. Leaving the filter fields blank will show all of the comments on activity feeds on your social network.";"Cette page répertorie tous les commentaires que vos utilisateurs ont publiés sur les flux d'activité sur votre site. Vous pouvez utiliser cette page pour surveiller ces commentaires et supprimer du matériel offensif si nécessaire. La saisie des critères dans les champs de filtre vous aidera à trouver des commentaires spécifiques. Laisser les champs de filtre vide montrera tous les commentaires sur les flux d'activité sur votre réseau social."
"Manage Activity Feeds";"Gérer les flux d'activité"
"This page lists all of the activity feeds your users have posted on your site. You can use this page to monitor these activity feeds and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific activity feeds. Leaving the filter fields blank will show all of the activity feeds on your social network.";"Cette page répertorie tous les flux d'activités que vos utilisateurs ont publiés sur votre site. Vous pouvez utiliser cette page pour surveiller ces flux d'activité et supprimer le matériel offensif si nécessaire. La saisie des critères dans les champs de filtre vous aidera à trouver des flux d'activité spécifiques. Laisser les champs de filtre vide montrera tous les flux d'activité de votre réseau social."
"Activity Feeds Item Type Settings";"Paramètres de type d'élément Feeds d'activité"
"Activity Feeds Posted Date";"Flux d'activité Date affichée"
"Delete this Activity Feed?";"Supprimer ce flux d'activités?"
"Are you sure you want to delete this activity feed? It will not be recoverable after being deleted.";"Êtes-vous sûr de vouloir supprimer ce flux d'activités? Il ne sera pas récupérable après avoir été supprimé."
"Delete this Comment?";"Supprimer ce commentaire?"
"Are you sure you want to delete this comment? It will not be recoverable after being deleted.";"Êtes-vous sûr de vouloir supprimer ce commentaire? Il ne sera pas récupérable après avoir été supprimé."
"Content Type";"Type de contenu"
"Edit Image";"Modifier l'image"
"Choose an image to show with this language. This image will show in both user panel and admin panel of your site. [Note: You can add a new image from the ""<a href=""%1$s"" target=""_blank"">File & Media Manager</a>"" section. If you leave the field blank then nothing will show.]";"Choisissez une image à afficher avec cette langue. Cette image s'affichera dans le panneau utilisateur et le panneau d'administration de votre site. [Remarque: vous pouvez ajouter une nouvelle image à partir de la section ""<a href =""%1$s""Target ="" _ Blank ""> File & Media Manager </a>"". Si vous quittez le champ vide, rien ne montrera.]"
"Search plugins…";"Plugins de recherche…"
"This note is common for all admins and super admins.";"Cette note est courante pour tous les administrateurs et les super administrateurs."
"You can not delete this theme, until its deactivated.";"Vous ne pouvez pas supprimer ce thème, jusqu'à ce qu'il soit désactivé."
"# notification";"nan"
"{item:$subject} has created a new {var:$content_text} {item:$object} and this is waiting for admin approval.";"{item:$subject} a créé un nouveau {var:$content_text} {item:$object} et cela attend l'approbation de l'administrateur."
"A new support ticket {var:$ticket_link} has been created by our site admin.";"Un nouveau billet de support {var:$ticket_link} a été créé par notre administrateur de site."
"# support";"nan"
"Read";"Lire"
"Open New Ticket";"Ouvrir un nouveau billet"
"Select a user from autosuggest box below by tying the name of the member on whose behalf you want to open this ticket.";"Sélectionnez un utilisateur dans la boîte AutoSuggest ci-dessous en liant le nom du membre au nom duquel vous souhaitez ouvrir ce billet."
"Start typing to search member…";"Commencez à taper pour le membre de la recherche…"
"Open Ticket";"Billet ouvert"
"Edit This Message";"Modifier ce message"
"Are you sure you want to edit this message? Once edited, previous message with not be recoverable.";"Êtes-vous sûr de vouloir modifier ce message? Une fois modifié, le message précédent sans être récupérable."
"Delete This Message?";"Supprimer ce message?"
"Are you sure you want to delete this message? It will not be recoverable after being deleted.";"Êtes-vous sûr de vouloir supprimer ce message? Il ne sera pas récupérable après avoir été supprimé."
"Add Reply";"Ajouter la réponse"
"Please enter reply description.";"Veuillez saisir la description de la réponse."
"Your reply has been sent successfully.";"Votre réponse a été envoyée avec succès."
"Read Message";"Lire le message"
"Here, you can edit the category title. If you do not want to change the parent category then do not choose any category from the parent category dropdown.";"Ici, vous pouvez modifier le titre de catégorie. Si vous ne souhaitez pas modifier la catégorie parent, ne choisissez aucune catégorie dans la liste déroulante de la catégorie parent."
"Approve Content?";"Approuver le contenu?"
"This content is currently disapproved. Are you sure you want to approve it?";"Ce contenu est actuellement désapprouvé. Êtes-vous sûr de vouloir l'approuver?"
"Enter the reason for approving this content (Optional).";"Entrez la raison de l'approbation de ce contenu (facultatif)."
"Reject Request for Content Approval";"Rejeter la demande d'approbation de contenu"
"Are you sure you want to reject the request to approve this content?";"Êtes-vous sûr de vouloir rejeter la demande pour approuver ce contenu?"
"Disapprove Content?";"Désapprouver le contenu?"
"This content is currently approved. Are you sure you want to disapprove it?";"Ce contenu est actuellement approuvé. Êtes-vous sûr de vouloir le désapprouver?"
"Enter the reason for rejecting this content (Optional).";"Entrez la raison de rejeter ce contenu (facultatif)."
"Enter the reason for disapproving this content (Optional).";"Entrez la raison de la désapprobation de ce contenu (facultatif)."
"Resubmit for Approval";"Soumettre à l'approbation"
"This content is disapproved by our site admin. To resubmit your content for approval, enter your message (optional) and click on ''Submit'' button.";"Ce contenu est désapprouvé par notre administrateur de site. Pour soumettre à nouveau votre contenu pour approbation, entrez votre message (facultatif) et cliquez sur le bouton '' Soumettre ''."
"Enter Message (Optional)";"Entrez le message (facultatif)"
"Your request has been successfully submitted.";"Votre demande a été soumise avec succès."
"This content is currently waiting for admin approval, which means that it can be viewed by you and our site''s administrator.";"Ce contenu attend actuellement l'approbation de l'administrateur, ce qui signifie qu'il peut être consulté par vous et l'administrateur de notre site."
"This content is re-submitted for admin approval, which means that it can be viewed by you and our site''s administrator.";"Ce contenu est ré-soumis à l'approbation de l'administrateur, ce qui signifie qu'il peut être consulté par vous et l'administrateur de notre site."
"This content is disapproved by our site''s admin, which means that it can be viewed by you and our site''s administrator.";"Ce contenu est désapprouvé par l'administrateur de notre site, ce qui signifie qu'il peut être consulté par vous et l'administrateur de notre site."
"Resubmit Again";"Soumettre à nouveau"
"#SEO";"nan"
"PAGETITLE-CORE-INDEX-ADMIN-SEO";"Paramètres SEO"
"PAGETITLE-CORE-MANAGEMETAKEYWORDS-ADMIN-SEO";"Paramètres de méta-balises pour les pages widgetisée"
"PAGETITLE-CORE-ROBOTO-ADMIN-SEO";"Robots TXT Editor"
"PAGETITLE-CORE-OPENSEARCH-ADMIN-SEO";"Éditeur de recherche ouverte"
"PAGETITLE-CORE-SCHEMA-MARKUP-ADMIN-SEO";"Marquage du schéma"
"PAGETITLE-CORE-SITEMAP-ADMIN-SEO";"Plan du site Index"
"SEO Settings";"Paramètres SEO"
"Meta Image";"Méta-image"
"Meta Tags Settings";"Paramètres de méta-balise"
"Meta Tags Settings for Widgetized Pages";"Paramètres de méta-balises pour les pages widgetisée"
"Here, you can enter the meta title, meta description and meta image for Search Engines for all the widgetized pages on your website.<br />The View pages of all the content and member profile page will have their own meta tags, so these tags will be appended to their tags automatically.";"Ici, vous pouvez saisir le méta-titre, Meta Description et Meta Image pour les moteurs de recherche pour toutes les pages widgetisées de votre site Web. <Br /> Les pages de vue de toutes les page de contenu et de profil membre auront leurs propres balises Meta, de sorte que ces balises seront automatiquement annexées à leurs balises."
"Meta Title";"Méta-titre"
"Meta Description";"Méta-description"
"Page ID";"ID de page"
"Meta Image";"Méta-image"
"Enter Title for this page. This title will show up in title tag.";"Entrez le titre de cette page. Ce titre apparaîtra dans Title Tag."
"Enter meta Description for this page. This description will show up description tag of this page.";"Entrez Meta Description de cette page. Cette description apparaîtra par description de cette page."
"Keywords";"Mots clé"
"Enter meta keywords for this page. You can add multiple tags separated by comma.";"Entrez les mots clés Meta pour cette page. Vous pouvez ajouter plusieurs balises séparées par virgule."
"Additional Meta Tags";"Tags de méta supplémentaire"
"Enter more meta tags that you want to add for this page. Example : <meta name=""yourwebsite"" content=""your website name"">";"Entrez plus de balises de méta que vous souhaitez ajouter pour cette page. Exemple: <meta name = ""yourwebsite"" contenu = ""Nom de votre site Web"">"
"Robot Tag";"Balise de robot"
"INDEX – a command for the search engine crawler to index that webpage and FOLLOW – a command for the search engine crawler to follow the links in that webpage.";"INDEX - Une commande pour que le robot du moteur de recherche indexent cette page Web et suivez - une commande pour que le robot moteur de recherche suive les liens de cette page Web."
"Back to Meta Tags Settings";"Retour aux paramètres de méta-étiquette"
"Robots txt Editor";"Robots TXT Editor"
"The robots.txt file is a text file that tells web robots (most often search engines) which pages on your site to crawl or not to crawl. From here, you can enter which part of website cannot access by search engine crawlers.";"Le fichier robots.txt est un fichier texte qui indique aux robots Web (le plus souvent des moteurs de recherche) qui pages sur votre site à ramper ou à ne pas ramper. De là, vous pouvez saisir la partie du site Web que le site Web ne peut pas accéder aux robots de recherche."
"Open search is way to search for products in your website from the address bar of the browsers like Chrome without loading the website.";"La recherche ouverte est une façon de rechercher des produits de votre site Web à partir de la barre d'adresse des navigateurs comme Chrome sans charger le site Web."
"Open Search Editor";"Éditeur de recherche ouverte"
"Schema Markup";"Marquage du schéma"
"You can enter information for schema markup that you want to show for rich content of your website in Search Engine Result Pages (SERP).";"Vous pouvez saisir des informations pour le balisage du schéma que vous souhaitez afficher pour un contenu riche de votre site Web dans les pages de résultats du moteur de recherche (SERP)."
"Schema Type";"Type de schéma"
"Select schema type.";"Sélectionnez le type de schéma."
"Custom";"Coutume"
"Enter Site Title.";"Entrez le titre du site."
"Website Alternate Title";"Titre alternatif du site Web"
"Enter Website Alternate Title.";"Entrez le titre alternatif du site Web."
"Other SocialMedia URL";"Autre URL socialmedia"
"Enter URL of other social media for your website.";"Entrez l'URL des autres médias sociaux pour votre site Web."
"YouTube URL";"URL YouTube"
"Enter URL of the YouTube for your website.";"Entrez l'URL du YouTube pour votre site Web."
"Instagram URL";"URL Instagram"
"Enter URL of the Instagram for your website.";"Entrez l'URL de l'Instagram pour votre site Web."
"LinkedIn URL";"URL LinkedIn"
"Enter URL of the LinkedIn for your website.";"Entrez l'URL du LinkedIn pour votre site Web."
"Facebook URL";"URL Facebook"
"Enter URL of the Facebook for your website.";"Entrez l'URL du Facebook pour votre site Web."
"X URL";"X URL"
"Enter URL of the X for your website.";"Entrez l'URL du X pour votre site Web."
"Custom Schema Markup";"Marquage du schéma personnalisé"
"Enter the Custom Schema Markup you want to enter for your website in json-ld format. [Note: You need not to include script tags, you can just add the json code.]";"Entrez le balisage du schéma personnalisé que vous souhaitez saisir pour votre site Web au format JSON-LD. [Remarque: vous ne devez pas inclure les balises de script, vous pouvez simplement ajouter le code JSON.]"
"Index Sitemap";"Plan du site Index"
"Sitemap";"Sitemap"
"Here, you can view all content sitemap files.";"Ici, vous pouvez afficher tous les fichiers de sitemap de contenu."
"View Sitemap";"Afficher le site du site"
"Download Sitemap XML";"Télécharger le sitemap xml"
"Download Sitemap Gzip File";"Télécharger le fichier gzip du site"
"Regenerate Sitemap";"Régénérer le plan du site"
"Content Sitemap";"Sitemap de contenu"
"From here, you can create sitemap for particular content. You can first select menu for which you want to create sitemap by clicking on ""Select Menus"" link below. You can also modify settings by click on ""Edit Link"".";"De là, vous pouvez créer un site de site pour un contenu particulier. Vous pouvez d'abord sélectionner le menu pour lequel vous souhaitez créer un site de site en cliquant sur le lien ""Sélectionner les menus"" ci-dessous. Vous pouvez également modifier les paramètres en cliquant sur ""Modifier le lien""."
"Content Title";"Titre de contenu"
"Frequency";"Fréquence"
"Priority";"Priorité"
"Sitemap File";"Fichier de site"
"Select Menus";"Sélectionner les menu"
"Select Menu for Sitemap";"Sélectionnez le menu pour le plan du site"
"Below, you can select menu that you want to add in to sitemap.";"Ci-dessous, vous pouvez sélectionner le menu que vous souhaitez ajouter au site."
"Choose the frequency of this content.";"Choisissez la fréquence de ce contenu."
"Always";"Toujour"
"Hourly";"De temp"
"Daily";"Tous les jour"
"Weekly";"Hebdomadaire"
"Monthly";"Mensuel"
"Yearly";"Annuel"
"Never";"Jamai"
"Choose the priority of this content.";"Choisissez la priorité de ce contenu."
"Enter Limit";"Entrer la limite"
"Enter limit for this content that you want to add in sitemap. [0 for no limit]";"Entrez la limite pour ce contenu que vous souhaitez ajouter dans le site. [0 pour aucune limite]"
"Do you want to enable this content sitemap?";"Voulez-vous activer ce plan de site de contenu?"
"Choose from below the Meta Image which will be used when content shared from your website to other social networking services does not have any image. [Note: You can add a new photo from the ""File & Media Manager"" section from here: <a href=""%1$s"" target=""_blank"">File & Media Manager</a>. Leave the field blank if you do not want to show image.]";"Choisissez parmi ci-dessous l'image Meta qui sera utilisée lorsque le contenu partagé sur votre site Web vers d'autres services de réseautage social n'a aucune image. [Remarque: vous pouvez ajouter une nouvelle photo de la section ""File & Media Manager"" à partir d'ici: <a href = ""%1$s"" Target = ""_ Blank""> File & Media Manager </a>. Laissez le champ vide si vous ne voulez pas montrer l'image.]"
"Choose from below the Meta Image for this page. This image will show up when this page from website is shared on Search Engine. [Note: You can add a new photo from the ""File & Media Manager"" section from here: <a href=""%1$s"" target=""_blank"">File & Media Manager.</a> Leave the field blank if you do not want to show image.]";"Choisissez parmi ci-dessous l'image Meta pour cette page. Cette image apparaîtra lorsque cette page du site Web sera partagée sur le moteur de recherche. [Remarque: vous pouvez ajouter une nouvelle photo de la section ""File & Media Manager"" à partir d'ici: <a href = ""%1$s"" Target = ""_ Blank""> File & Media Manager. </a> Laissez le champ vide si vous ne voulez pas afficher l'image.]"
"%s entry found.";"%s Entrée trouvée.";"%s entries found."
"Open File";"Ouvrir le fichier"
"You have successfully generated the sitemap for this content.";"Vous avez réussi à générer le plan du site pour ce contenu."
"You have successfully edited the entry.";"Vous avez réussi à éditer l'entrée."
"You have successfully selected the menus.";"Vous avez réussi à sélectionner les menus."
"There is no content to generate the sitemap.";"Il n'y a pas de contenu pour générer le plan du site."
"You have successfully generated the sitemap.";"Vous avez réussi à générer le plan du site."
"Edit Meta Tags For %1$s ";"Modifier les balises Meta pour %1$"
"Edit Setting For %1$s ";"Modifier le paramètre pour %1$"
"Here, you can edit the setting for the %1$s.";"Ici, vous pouvez modifier le paramètre du %1$s."
"Here, you can edit the meta tags information for the %1$s.";"Ici, vous pouvez modifier les informations Meta Tags pour le %1$s."
"There is not any entry found with this criteria.";"Il n'y a aucune entrée dans ces critères."
"No pages found with this criteria.";"Pas de pages trouvées avec ces critères."
"No File";"Pas de fichier"
"Enable Recent Login & Switch Account";"Activer le compte de connexion et de commutation récent"
"Do you want to enable recent login & switch account feature on your website?";"Voulez-vous activer la fonction de compte de connexion et de commutation récente sur votre site Web?"
"You can switch your accounts from below or log into another account.";"Vous pouvez changer vos comptes ci-dessous ou vous connecter à un autre compte."
"Switch Account";"Compte de commutation"
"Log into another account";"Connectez-vous à un autre compte"
"Select a Date";"Sélectionnez une date"
"Now";"Maintenant"
"Enable CAPTCHA";"Activer le captcha"
"Do you want to show CAPTCHA on signup, invite, login and contact?";"Voulez-vous afficher CAPTCHA lors de l'inscription, de l'invitation, de la connexion et du contact?"
"Verify";"Vérifier"
"Verified";"Vérifié"
"This phone number is already exists. Please use another one.";"Ce numéro de téléphone existe déjà. Veuillez en utiliser un autre."
"This email address is already exists. Please use another one.";"Cette adresse e-mail existe déjà. Veuillez en utiliser un autre."
"The code you entered is valid.";"Le code que vous avez entré est valide."
"PAGETITLE-CORE-LOCATION-ADMIN-SETTINGS";"Paramètres de localisation"
"CORE_NUMBER_FORMAT_K";"K"
"CORE_NUMBER_FORMAT_M";"M"
"CORE_NUMBER_FORMAT_B";"B"
"CORE_NUMBER_FORMAT_T";"T"
"You have %s members whose data has not been imported yet.";"Vous avez des membres %s dont les données n'ont pas encore été importées."
" to import their data.";"pour importer leurs données."
"Import User Data";"Importer des données sur les utilisateur"
"Are you sure you want to import first names, last names, gender, and birthdates of members on your site? Please do not close this popup.";"Êtes-vous sûr d'importer des prénoms, des noms de famille, du genre et des dates de naissance de membres sur votre site? Veuillez ne pas fermer cette fenêtre contextuelle."
"Import";"Importer"
"Location Settings";"Paramètres de localisation"
"Allow Location";"Autoriser l'emplacement"
"Do you want enable location on your website?";"Voulez-vous activer l'emplacement sur votre site Web?"
"Yes, allow google location";"Oui, permettez l'emplacement de Google"
"Yes, allow location";"Oui, permettez l'emplacement"
"Google Map API Key";"Clé API Google Map"
"Proximity Search Unit (Search via Google API)";"Unité de recherche de proximité (recherche via Google API)"
"Choose the unit for proximity search of location on your website. (Note: This setting will only work when you have enabled location via Google APIs. If you have disabled Google APIs, then you will not able to search based on their proximity.)";"Choisissez l'unité pour la recherche de proximité de l'emplacement sur votre site Web. (Remarque: ce paramètre ne fonctionnera que lorsque vous avez activé l'emplacement via les API Google. Si vous avez désactivé Google API, vous ne pouvez pas rechercher en fonction de leur proximité.)"
"Miles";"Kilomètre"
"Kilometers";"Kilomètre"
"PAGETITLE-CORE-LOCATION-ADMIN-SETTINGS";"Paramètres de localisation"
"Enter the Google map API key for displaying Google map on your website.";"Entrez la touche API Google Map pour afficher Google Map sur votre site Web."
"<a href=""%1$s"" target=""_blank""> Click Here</a> to generate the API key.";"<a href = ""%1$s"" Target = ""_ Blank""> Cliquez ici </a> pour générer la touche API."
"PAGETITLE-CORE-SETTINGS-ADMIN-SUPPORT";"Paramètres globaux"
"Enable Support Inbox";"Activer la boîte de réception du support"
"Do you want to enable the support inbox feature on your website?";"Voulez-vous activer la fonctionnalité de boîte de réception de votre site Web?"
"Allow Creation of Support Tickets";"Autoriser la création de billets de support"
"Do you want to allow users of your site to create support tickets? If you choose No, then users will not be able to create support ticket on your website, meanwhile they can view and reply to the tickets are opened from admin panel.";"Voulez-vous permettre aux utilisateurs de votre site de créer des billets de support? Si vous choisissez non, les utilisateurs ne pourront pas créer un ticket d'assistance sur votre site Web, en attendant, ils peuvent afficher et répondre aux billets sont ouverts à partir du panneau d'administration."
"PAGETITLE-CORE-SETTINGS-ADMIN-FILES";"Paramètre"
"Convert Photos to .webp Extension";"Convertir des photos en extension .webp"
"Do you want to convert all photos uploaded on your site into .webp extension? If you choose Yes, then all the photos upload from user panel and admin panel will be converted to .webp extension. Note: If you choose Yes, then make sure ""imagewebp"" extension is enabled on your server. <br /> Note: This setting will only work with newly uploaded images. Existing uploaded images will not be converted into .webp extension.";"Voulez-vous convertir toutes les photos téléchargées sur votre site en extension .webp? Si vous choisissez oui, toutes les photos Téléchargement du panneau utilisateur et du panneau d'administration seront converties en extension .webp. Remarque: Si vous choisissez oui, assurez-vous que l'extension ""ImageWebp"" est activée sur votre serveur. <br /> Remarque: ce paramètre ne fonctionnera qu'avec des images nouvellement téléchargées. Les images téléchargées existantes ne seront pas converties en extension .webp."
"Refresh";"Rafraîchir"
"Image Compression Quality";"Qualité de compression d'image"
